species_group,year,strata,biomass,cv
big_skate,1984,CGOA,17635.2,0.23131342402763633
big_skate,1984,EGOA,6566.3,0.6030682704304391
big_skate,1984,WGOA,3338.7,0.6021631957037803
big_skate,1987,CGOA,20855.2,0.19099581445116046
big_skate,1987,EGOA,2924.7,0.47420422932621475
big_skate,1987,WGOA,4313.2,0.29789702812498187
big_skate,1990,CGOA,9070.800000000001,0.3507047651023921
big_skate,1990,EGOA,11500.8,0.3915938716842992
big_skate,1990,WGOA,1744.5,0.46753965864763236
big_skate,1993,CGOA,21585.5,0.18520318011798362
big_skate,1993,EGOA,15835.5,0.3682506689838408
big_skate,1993,WGOA,2311.6,0.33158626574113337
big_skate,1996,CGOA,26543.600000000002,0.19396137986600623
big_skate,1996,EGOA,3390.7000000000003,0.2978700347943927
big_skate,1996,WGOA,13129.5,0.4178131134134355
big_skate,1999,CGOA,34007,0.19876330225851555
big_skate,1999,EGOA,9605.6,0.3351168143329078
big_skate,1999,WGOA,11037.8,0.2670574656579365
big_skate,2001,CGOA,30657.5,0.21690079145596416
big_skate,2001,WGOA,8424.9,0.3546876332100253
big_skate,2003,CGOA,33814,0.21712781851555463
big_skate,2003,EGOA,11980.5,0.3823207909981498
big_skate,2003,WGOA,9602.2,0.2852543709229016
big_skate,2005,CGOA,25544.1,0.20775760191129203
big_skate,2005,EGOA,3983.5,0.35607702747391257
big_skate,2005,WGOA,9792,0.325597195698521
big_skate,2007,CGOA,24420.4,0.2676099446434903
big_skate,2007,EGOA,9337.3,0.3340100025430352
big_skate,2007,WGOA,5871.8,0.4429472462624927
big_skate,2009,CGOA,26690.899999999998,0.21564785089504446
big_skate,2009,EGOA,11006.699999999999,0.3155333787069485
big_skate,2009,WGOA,6651.700000000001,0.3680035330735846
big_skate,2011,CGOA,21760.899999999998,0.1739316505445503
big_skate,2011,EGOA,39870.4,0.6144820815583373
big_skate,2011,WGOA,6251.2,0.30388576738511897
big_skate,2013,CGOA,12810.199999999999,0.2062157362567652
big_skate,2013,EGOA,14754.5,0.5611766768195715
big_skate,2013,WGOA,10668.8,0.4214244415532735
big_skate,2015,CGOA,32038.1,0.18801398046787862
big_skate,2015,EGOA,12560.300000000001,0.5646751520440553
big_skate,2015,WGOA,13449,0.24772510711457518
big_skate,2017,CGOA,22878.2,0.2148363889990612
big_skate,2017,EGOA,5663.6,0.4947921989469536
big_skate,2017,WGOA,5068.1,0.3008566462102959
big_skate,2019,CGOA,18371,0.2510973289062133
big_skate,2019,EGOA,12931.4,0.2791366880814841
big_skate,2019,WGOA,12179.4,0.3201996672355618
big_skate,2021,CGOA,16835.2,0.27975670676244513
big_skate,2021,EGOA,8495.2,0.5071022682377875
big_skate,2021,WGOA,6525.2,0.32832605790530633
longnose_skate,1984,CGOA,2280.3,0.7663885567001992
longnose_skate,1984,EGOA,6721.8,0.4438248872142746
longnose_skate,1984,WGOA,0,NA
longnose_skate,1987,CGOA,2667.1,0.30418196752296134
longnose_skate,1987,EGOA,3922.9,0.5699161794165304
longnose_skate,1987,WGOA,40.8,0.8260858375848402
longnose_skate,1990,CGOA,8707.8,0.28785573687393845
longnose_skate,1990,EGOA,2242.2,0.2585326694250907
longnose_skate,1990,WGOA,1045,0.714620601116573
longnose_skate,1993,CGOA,14158.2,0.14620529738003424
longnose_skate,1993,EGOA,3538.9,0.18915369794247372
longnose_skate,1993,WGOA,105.4,0.7161393893633763
